"Apatosaurus,""louisae"","""""
"Barosaurus,""lentus"","""""
"Brontosaurus,""excelsus"",""type"""
"Brontosaurus,""parvus"","""""
"Brontosaurus,""yahnahpin"","""""
"Dinheirosaurus,""lourinhanensis"","""""
"Diplodocus,""carnegii"",""type"""
"Diplodocus,""hallorum"","""""
"Galeamopus,""hayi"",""type"""
"Galeamopus,""pabsti"","""""
"Supersaurus,""vivianae"","""""
"Tornieria,""africana"","""""
"Brachiosaurus,""altithorax"","""""
"Giraffatitan,""brancai"","""""
"Lusotitan,""atalaiensis"","""""
"Camarasaurus,""supremus"",""type"""
"Camarasaurus,""grandis"","""""
"Camarasaurus,""lentus"","""""
"Dongbeititan,""dongi"","""""
"Sauroposeidon,""proteles"","""""
"Ruyangosaurus,""giganteus"","""""
"Titanosaurus,""indicus"","""""
"Dreadnoughtus,""schrani"","""""
"Magyarosaurus,""dacus"","""""
"Petrustitan,""hungaricus"","""""
"Nemegtosaurus,""mongoliensis"","""""
"Paralititan,""stromeri"","""""
"Saltasaurus,""loricatus"","""""
"Antarctosaurus,""wichmannianus"",""type"""
"Antarctosaurus,""giganteus"","""""
"Austroposeidon,""magnificus"","""""
"Argentinosaurus,""huinculensis"","""""
"Patagotitan,""mayorum"","""""
"Puertasaurus,""reuili"","""""
"Liliensternus,""liliensterni"","""""
"Coelophysis,""bauri"","""""
"Bahariasaurus,""ingens"","""""
"Ceratosaurus,""nasicornis"",""type"""
"Ceratosaurus,""dentisulcatus"","""""
"Ceratosaurus,""magnicornis"","""""
"Deltadromeus,""agilis"","""""
"Kiyacursor,""longipes"","""""
"Carnotaurus,""sastrei"","""""
"Megalosaurus,""bucklandii"","""""
"Torvosaurus,""tanneri"",""type"""
"Torvosaurus,""gurneyi"","""""
"Baryonyx,""walkeri"","""""
"Oxalaia,""quilombensis"","""""
"Irritator,""challengeri"","""""
"Sigilmassasaurus,""brevicollis"","""""
"Spinosaurus,""aegyptiacus"",""type"""
"Spinosaurus,""maroccanus"","""""
"Gasosaurus,""constructus"","""""
"Sinraptor,""dongi"",""type"""
"Sinraptor,""hepingensis"","""""
"Allosaurus,""fragilis"",""type"""
"Allosaurus,""europaeus"","""""
"Allosaurus,""jimmadseni"","""""
"Epanterias,""amplexus"","""""
"Saurophaganax,""maximus"","""""
"Yangchuanosaurus,""shangyouensis"",""type"""
"Yangchuanosaurus,""zigongensis"","""""
"Acrocanthosaurus,""atokensis"","""""
"Carcharodontosaurus,""saharicus"",""type"""
"Carcharodontosaurus,""iguidensis"","""""
"Giganotosaurus,""carolinii"","""""
"Mapusaurus,""roseae"","""""
"Meraxes,""gigas"","""""
"Tyrannotitan,""chubutensis"","""""
"Taurovenator,""violantei"","""""
"Compsognathus,""longipes"","""""
"Sinosauropteryx,""prima"","""""
"Coelurus,""fragilis"","""""
"Dilong,""paradoxus"","""""
"Kileskus,""aristotocus"","""""
"Alioramus,""remotus"",""type"""
"Alioramus,""altai"","""""
"Daspletosaurus,""torosus"",""type"""
"Daspletosaurus,""horneri"","""""
"Daspletosaurus,""wilsoni"","""""
"Albertosaurus,""sarcophagus"","""""
"Yutyrannus,""huali"","""""
"Dynamoterror,""dynastes"","""""
"Gorgosaurus,""libratus"","""""
"Lythronax,""argestes"","""""
"Nanuqsaurus,""hoglundi"","""""
"Qianzhousaurus,""sinensis"","""""
"Tarbosaurus,""bataar"","""""
"Teratophoneus,""curriei"","""""
"Thanatotheristes,""degrootorum"","""""
"Tyrannosaurus,""rex"",""type"""
"Tyrannosaurus,""mcraeensis "","""""
"Zhuchengtyrannus,""magnus"","""""
"Labocania,""anomala"",""type"""
"Labocania,""aguillonae"","""""
"Ornithomimus,""velox"",""type"""
"Ornithomimus,""edmontonicus"","""""
"Struthiomimus,""altus"",""type"""
"Struthiomimus,""sedens"","""""
"Parvicursor,""remotus"","""""
"Beipiaosaurus,""inexpectus"","""""
"Imperobator,""antarcticus"","""""
"Epidexipteryx,""hui"","""""
"Yi,""qi"","""""
"Avimimus,""portentosus"",""type"""
"Avimimus,""nemegtensis"","""""
"Kol,""ghuva"","""""
"Caudipteryx,""zoui"",""type"""
"Caudipteryx,""dongi"","""""
"Banji,""long"","""""
"Citipati,""osmolskae"","""""
"Oviraptor,""philoceratops"","""""
"Anzu,""wyliei"","""""
"Nomingia,""gobiensis"","""""
"Balaur,""bondoc"","""""
"Achillobator,""giganticus"","""""
"Austroraptor,""cabazai"","""""
"Dakotaraptor,""steini"","""""
"Dromaeosaurus,""albertensis"","""""
"Kuru,""kulla"","""""
"Microraptor,""zhaoianus"",""type"""
"Microraptor,""gui"","""""
"Microraptor,""hanqingi"","""""
"Shri,""devi"","""""
"Utahraptor,""ostrommaysi"","""""
"Velociraptor,""mongoliensis"",""type"""
"Velociraptor,""osmolskae"","""""
"Mei,""long"","""""
"Pectinodon,""bakkeri"","""""
"Troodon,""formosus"","""""
"Zanabazar,""junior"","""""
"Tuojiangosaurus,""multispinus"","""""
"Alamosaurus,""sanjuanensis"","""""
"Asiatyrannus,""xui"","""""
"Australotitan,""cooperensis"","""""
"Huanghetitan,""liujiaxiaensis"",""type"""
"Huanghetitan,""ruyangensis"","""""
"Xinjiangtitan,""shanshanesis"","""""
"Ulughbegsaurus,""uzbekistanensis"","""""
